Plant_ID,Temperature (°C),Humidity (%),TDS Value (ppm),pH Level,Growth Days
1,33.4,53,582,6.4,1
1,33.5,53,451,6.1,2
1,33.4,59,678,6.4,3
1,33.4,68,420,6.4,4
1,33.4,74,637,6.5,5
1,32.3,77,478,6.8,6
1,32.3,75,682,6,7
1,22.7,63,576,6.3,8
1,31.9,69,662,6.1,9
1,30.2,59,607,6.2,10
1,30.1,77,670,6.5,11
1,30.1,54,535,6.4,12
1,30.1,78,480,6,13
1,29.8,56,688,6.4,14
1,29.6,62,653,6.6,15
1,30.9,70,742,6.1,16
1,30.8,57,580,6.2,17
1,30.9,78,789,6.5,18
1,30.2,63,516,6,19
1,30.5,51,527,6.4,20
1,30.8,57,669,6.2,21
1,31.3,73,645,6.6,22
1,31.4,52,744,6.8,23
1,31.4,61,719,6.4,24
1,30.1,77,589,6.7,25
1,29.4,71,654,6.4,26
1,28.7,64,451,6.4,27
1,29.1,51,623,6.6,28
1,29.2,55,680,6.7,29
1,31.7,50,601,6.4,30
1,31.7,52,603,6.7,31
1,31.7,76,762,6.7,32
1,31.7,55,517,6,33
1,32,55,743,6.6,34
1,32.1,76,709,6,35
1,31.5,68,416,6.2,36
1,29.8,68,577,6.3,37
1,20.1,61,621,6.5,38
1,31.1,64,478,6,39
1,31.2,79,672,6.3,40
1,31.2,62,576,6.7,41
1,30.4,57,726,6.1,42
1,29.1,75,636,6.8,43
1,30.6,55,688,6.6,44
1,31.5,68,637,6.2,45
2,33.4,74,586,6.1,1
2,33.5,65,433,6.8,2
2,33.4,55,749,6.7,3
2,33.4,68,680,6.8,4
2,33.4,50,488,6.4,5
2,32.3,78,697,6.3,6
2,32.3,77,624,6.6,7
2,22.7,57,593,6.5,8
2,31.9,73,564,6.1,9
2,30.2,65,416,6.6,10
2,30.1,71,664,6.4,11
2,30.1,65,746,6.8,12
2,30.1,75,646,6.3,13
2,29.8,58,413,6.5,14
2,29.6,50,487,6.7,15
2,30.9,79,564,6.2,16
2,30.8,56,430,6.5,17
2,30.9,71,527,6.2,18
2,30.2,51,704,6.3,19
2,30.5,62,732,6.3,20
2,30.8,69,420,6.5,21
2,31.3,54,608,6.3,22
2,31.4,58,687,6.3,23
2,31.4,64,529,6.2,24
2,30.1,78,427,6.3,25
2,29.4,57,780,6.4,26
2,28.7,57,508,6.2,27
2,29.1,58,603,6.6,28
2,29.2,56,581,6.7,29
2,31.7,56,622,6.4,30
2,31.7,73,598,6.5,31
2,31.7,57,597,6.2,32
2,31.7,61,498,6,33
2,32,63,569,6.4,34
2,32.1,75,697,6.3,35
2,31.5,77,627,6.6,36
2,29.8,61,537,6.6,37
2,20.1,63,785,6.3,38
2,31.1,70,428,6.7,39
2,31.2,56,797,6.8,40
2,31.2,66,657,6.8,41
2,30.4,75,473,6.6,42
2,29.1,72,689,6.3,43
2,30.6,52,681,6.3,44
2,31.5,79,719,6.7,45
3,33.4,51,667,6.2,1
3,33.5,63,632,6.1,2
3,33.4,65,636,6.7,3
3,33.4,62,525,6.6,4
3,33.4,65,735,6,5
3,32.3,80,794,6.4,6
3,32.3,80,691,6.2,7
3,22.7,65,783,6.6,8
3,31.9,62,531,6.7,9
3,30.2,69,473,6.4,10
3,30.1,55,745,6.1,11
3,30.1,80,569,6.3,12
3,30.1,63,743,6.3,13
3,29.8,69,566,6.1,14
3,29.6,53,671,6.6,15
3,30.9,58,643,6.4,16
3,30.8,67,682,6.6,17
3,30.9,79,467,6.3,18
3,30.2,58,714,6.7,19
3,30.5,80,726,6.6,20
3,30.8,79,780,6.1,21
3,31.3,55,545,6.4,22
3,31.4,74,630,6.6,23
3,31.4,53,491,6.4,24
3,30.1,80,661,6.7,25
3,29.4,75,535,6.1,26
3,28.7,73,629,6.6,27
3,29.1,73,738,6.6,28
3,29.2,69,758,6.2,29
3,31.7,76,799,6.3,30
3,31.7,75,577,6.2,31
3,31.7,69,439,6.3,32
3,31.7,50,516,6.5,33
3,32,72,741,6.8,34
3,32.1,72,492,6,35
3,31.5,75,762,6.2,36
3,29.8,78,525,6,37
3,20.1,80,428,6.5,38
3,31.1,79,794,6.3,39
3,31.2,73,460,6.7,40
3,31.2,69,403,6.6,41
3,30.4,54,480,6.7,42
3,29.1,73,747,6.1,43
3,30.6,58,479,6.7,44
3,31.5,73,691,6.7,45
3,30.5,75,517,6.4,46
3,29.7,72,549,6.6,47
4,33.4,62,547,6.7,1
4,33.5,54,609,6.7,2
4,33.4,60,794,6.3,3
4,33.4,58,562,6,4
4,33.4,57,726,6.1,5
4,32.3,59,442,6.7,6
4,32.3,65,598,6.4,7
4,22.7,57,549,6.5,8
4,31.9,69,785,6.7,9
4,30.2,66,762,6.3,10
4,30.1,70,419,6.1,11
4,30.1,64,525,6.2,12
4,30.1,66,608,6.7,13
4,29.8,52,458,6.3,14
4,29.6,59,571,6,15
4,30.9,57,747,6.7,16
4,30.8,77,518,6.7,17
4,30.9,66,490,6.3,18
4,30.2,71,502,6.7,19
4,30.5,58,631,6.1,20
4,30.8,58,735,6.4,21
4,31.3,73,418,6.7,22
4,31.4,63,740,6.1,23
4,31.4,53,402,6.7,24
4,30.1,66,652,6.6,25
4,29.4,56,437,6.7,26
4,28.7,73,558,6.5,27
4,29.1,71,525,6.6,28
4,29.2,63,604,6.5,29
4,31.7,68,787,6.6,30
4,31.7,71,711,6.8,31
4,31.7,69,546,6.3,32
4,31.7,71,485,6.2,33
4,32,71,497,6.7,34
4,32.1,51,577,6.1,35
4,31.5,60,647,6.5,36
4,29.8,78,564,6.2,37
4,20.1,51,530,6.2,38
4,31.1,63,543,6.3,39
4,31.2,50,491,6.2,40
4,31.2,72,729,6.6,41
4,30.4,64,698,6.1,42
4,29.1,62,530,6.8,43
4,30.6,58,764,6.4,44
4,31.5,63,654,6.7,45
4,31.3,71,652,6.8,46
4,30.8,63,754,6.1,47
4,30.6,62,641,6.2,48
5,33.4,67,651,6.3,1
5,33.5,53,684,6.6,2
5,33.4,54,449,6.1,3
5,33.4,76,572,6.6,4
5,33.4,67,571,6.7,5
5,32.3,50,481,6.5,6
5,32.3,74,558,6.7,7
5,22.7,59,652,6.5,8
5,31.9,54,637,6.7,9
5,30.2,77,417,6.8,10
5,30.1,79,429,6.2,11
5,30.1,63,500,6.5,12
5,30.1,75,675,6.8,13
5,29.8,78,624,6.3,14
5,29.6,65,525,6.3,15
5,30.9,78,778,6,16
5,30.8,68,678,6.1,17
5,30.9,57,502,6.7,18
5,30.2,67,766,6.1,19
5,30.5,78,722,6.2,20
5,30.8,61,460,6.2,21
5,31.3,57,587,6.5,22
5,31.4,53,646,6.2,23
5,31.4,55,749,6.7,24
5,30.1,52,468,6.7,25
5,29.4,67,470,6.4,26
5,28.7,58,565,6.5,27
5,29.1,75,516,6.5,28
5,29.2,54,410,6.6,29
5,31.7,66,763,6.1,30
5,31.7,56,413,6.4,31
5,31.7,67,468,6.2,32
5,31.7,66,422,6.5,33
5,32,66,661,6.2,34
